# statink_id,rotation_period,shift_start,shift_start,splatnet_number,stage_key,stage_name,clear_wave,fail_reason,fail_reason,hazard_level,title_before,title_before,title_before,title_after,title_after,title_after,w1_event,w1_event,w1_water,w1_water,w1_quota,w1_delivers,w1_appearances,w1_pwr_eggs,w2_event,w2_event,w2_water,w2_water,w2_quota,w2_delivers,w2_appearances,w2_pwr_eggs,w3_event,w3_event,w3_water,w3_water,w3_quota,w3_delivers,w3_appearances,w3_pwr_eggs,player_id,player_name,player_w1_weapon,player_w1_weapon,player_w2_weapon,player_w2_weapon,player_w3_weapon,player_w3_weapon,player_special,player_special,player_w1_sp_use,player_w2_sp_use,player_w3_sp_use,player_rescues,player_rescued,player_golden_eggs,player_power_eggs,mate1_id,mate1_name,mate1_w1_weapon,mate1_w1_weapon,mate1_w2_weapon,mate1_w2_weapon,mate1_w3_weapon,mate1_w3_weapon,mate1_special,mate1_special,mate1_w1_sp_use,mate1_w2_sp_use,mate1_w3_sp_use,mate1_rescues,mate1_rescued,mate1_golden_eggs,mate1_power_eggs,mate2_id,mate2_name,mate2_w1_weapon,mate2_w1_weapon,mate2_w2_weapon,mate2_w2_weapon,mate2_w3_weapon,mate2_w3_weapon,mate2_special,mate2_special,mate2_w1_sp_use,mate2_w2_sp_use,mate2_w3_sp_use,mate2_rescues,mate2_rescued,mate2_golden_eggs,mate2_power_eggs,mate3_id,mate3_name,mate3_w1_weapon,mate3_w1_weapon,mate3_w2_weapon,mate3_w2_weapon,mate3_w3_weapon,mate3_w3_weapon,mate3_special,mate3_special,mate3_w1_sp_use,mate3_w2_sp_use,mate3_w3_sp_use,mate3_rescues,mate3_rescued,mate3_golden_eggs,mate3_power_eggs,drizzler_appearances,drizzler_player_kills,drizzler_mate1_kills,drizzler_mate2_kills,drizzler_mate3_kills,flyfish_appearances,flyfish_player_kills,flyfish_mate1_kills,flyfish_mate2_kills,flyfish_mate3_kills,goldie_appearances,goldie_player_kills,goldie_mate1_kills,goldie_mate2_kills,goldie_mate3_kills,griller_appearances,griller_player_kills,griller_mate1_kills,griller_mate2_kills,griller_mate3_kills,maws_appearances,maws_player_kills,maws_mate1_kills,maws_mate2_kills,maws_mate3_kills,scrapper_appearances,scrapper_player_kills,scrapper_mate1_kills,scrapper_mate2_kills,scrapper_mate3_kills,steel_eel_appearances,steel_eel_player_kills,steel_eel_mate1_kills,steel_eel_mate2_kills,steel_eel_mate3_kills,steelhead_appearances,steelhead_player_kills,steelhead_mate1_kills,steelhead_mate2_kills,steelhead_mate3_kills,stinger_appearances,stinger_player_kills,stinger_mate1_kills,stinger_mate2_kills,stinger_mate3_kills
21931,214611,1545273546,2018-12-19T21:39:06-05:00,682,polaris,Ruins of Ark Polaris,3,,,92.0,profreshional,Profreshional,120,profreshional,Profreshional,140,,,normal,Mid Tide,11,24,17,420,mothership,The Mothership,normal,Mid Tide,12,30,16,395,,,normal,Mid Tide,14,21,15,522,aeda69d2070fafb6,MunchCass,sputtery,Dapple Dualies,wakaba,Splattershot Jr.,rapid,Rapid Blaster,chakuchi,Splashdown,0,1,0,2,3,17,410,0da8c21bf745f738,Star Wolf,bamboo14mk1,Bamboozler 14 Mk I,sputtery,Dapple Dualies,wakaba,Splattershot Jr.,jetpack,Inkjet,0,0,0,2,4,16,298,8cc5d43b90136aa1,LordBeerus,wakaba,Splattershot Jr.,rapid,Rapid Blaster,bamboo14mk1,Bamboozler 14 Mk I,presser,Sting Ray,0,2,0,5,2,10,367,b21b395b823de350,OpxPanda,rapid,Rapid Blaster,bamboo14mk1,Bamboozler 14 Mk I,sputtery,Dapple Dualies,pitcher,Splat-Bomb Launcher,0,0,2,1,1,10,262,3,,,1,,3,1,,,,0,,,,,0,,,,,4,,,,3,2,1,,1,,5,3,1,,1,1,,1,,,6,2,1,,
21932,214653,1545501908,2018-12-22T13:05:08-05:00,683,shaketoba,Lost Outpost,3,,,115.0,profreshional,Profreshional,100,profreshional,Profreshional,120,,,normal,Mid Tide,14,33,21,547,griller,The Griller,normal,Mid Tide,15,35,24,843,,,normal,Mid Tide,17,39,29,669,aeda69d2070fafb6,MunchCass,rapid,Rapid Blaster,bold,Sploosh-o-matic,kuma_charger,Grizzco Charger,jetpack,Inkjet,0,0,1,5,6,27,601,f31a0261a253a763,Solid,carbon,Carbon Roller,kuma_charger,Grizzco Charger,kuma_charger,Grizzco Charger,pitcher,Splat-Bomb Launcher,0,0,1,5,1,13,676,8bdd68ff1bbd95c3,Maria,kuma_charger,Grizzco Charger,bucketslosher,Slosher,splatcharger,Splat Charger,chakuchi,Splashdown,0,1,1,4,3,20,458,085fae12cb648055,Clau.BM,soytuber,Goo Tuber,soytuber,Goo Tuber,screwslosher,Sloshing Machine,presser,Sting Ray,0,0,0,2,6,14,324,5,,3,1,,2,,,,,0,,,,,9,1,3,1,2,5,1,1,2,1,5,1,3,1,,4,2,2,,,3,,2,,1,4,1,2,,
21933,214653,1545502382,2018-12-22T13:13:02-05:00,684,shaketoba,Lost Outpost,3,,,133.0,profreshional,Profreshional,120,profreshional,Profreshional,140,,,normal,Mid Tide,15,36,31,654,mothership,The Mothership,normal,Mid Tide,16,63,31,802,goldie_seeking,Goldie Seeking,normal,Mid Tide,18,24,21,902,aeda69d2070fafb6,MunchCass,bold,Sploosh-o-matic,wakaba,Splattershot Jr.,longblaster,Range Blaster,pitcher,Splat-Bomb Launcher,0,0,0,1,2,25,365,f31a0261a253a763,Solid,nova,Luna Blaster,kuma_charger,Grizzco Charger,longblaster,Range Blaster,chakuchi,Splashdown,0,0,2,0,1,24,707,851e1f02609d92da,ŻFirenomix,kuma_charger,Grizzco Charger,kugelschreiber,Ballpoint Splatling,squiclean_a,Classic Squiffer,presser,Sting Ray,0,2,0,4,1,20,712,e992280ee20b5989,*Chris*,splatroller,Splat Roller,kuma_charger,Grizzco Charger,pablo,Inkbrush,jetpack,Inkjet,0,0,1,0,1,14,574,1,,,1,,1,,,,,2,,,,1,0,,,,,3,,1,1,1,2,,1,,1,4,,1,1,2,1,,1,,,1,1,,,
21934,214698,1545854722,2018-12-26T15:05:22-05:00,685,dam,Spawning Grounds,0,wipe_out,Wipe out,94.6,profreshional,Profreshional,100,profreshional,Profreshional,80,,,high,High Tide,12,15,10,648,,,,,13,,,,,,,,15,,,,aeda69d2070fafb6,MunchCass,liter4k,E-liter 4K,,,,,jetpack,Inkjet,0,,,1,2,4,80,74e13921195d3cdc,$AMONEY$,hissen,Tri-Slosher,,,,,presser,Sting Ray,0,,,1,1,3,219,025241113d9c6333,Dzib,splatroller,Splat Roller,,,,,chakuchi,Splashdown,2,,,3,1,1,190,4e3cb53f41909786,kimmy,nzap85,N-ZAP '85,,,,,pitcher,Splat-Bomb Launcher,1,,,1,2,2,159,0,,,,,3,,,,1,0,,,,,0,,,,,0,,,,,1,1,,,,1,,,,,3,1,,,,2,,1,,1
21935,214698,1545855554,2018-12-26T15:19:14-05:00,686,dam,Spawning Grounds,3,,,130.2,profreshional,Profreshional,80,profreshional,Profreshional,100,,,normal,Mid Tide,15,36,28,663,,,normal,Mid Tide,16,33,26,834,rush,Rush,normal,Mid Tide,18,45,34,1748,aeda69d2070fafb6,MunchCass,nzap85,N-ZAP '85,splatroller,Splat Roller,liter4k,E-liter 4K,jetpack,Inkjet,0,0,2,1,4,28,533,ad281357a3da151e,Dr. B$,liter4k,E-liter 4K,hissen,Tri-Slosher,nzap85,N-ZAP '85,chakuchi,Splashdown,0,1,1,2,4,25,691,48db1b0601dab373,No Salsa,hissen,Tri-Slosher,nzap85,N-ZAP '85,splatroller,Splat Roller,pitcher,Splat-Bomb Launcher,0,0,1,2,1,16,1037,0e694df85d5fe822,JFKwentAFK,splatroller,Splat Roller,liter4k,E-liter 4K,hissen,Tri-Slosher,presser,Sting Ray,0,0,2,7,3,19,984,2,,,,1,4,,,1,,16,2,3,7,3,0,,,,,4,,1,2,1,3,1,,1,,6,2,2,,2,5,,,3,2,4,,,1,3
21936,214698,1545856010,2018-12-26T15:26:50-05:00,687,dam,Spawning Grounds,3,,,134.0,profreshional,Profreshional,100,profreshional,Profreshional,120,,,high,High Tide,15,39,27,1348,,,low,Low Tide,17,36,22,672,,,low,Low Tide,19,36,25,883,aeda69d2070fafb6,MunchCass,splatroller,Splat Roller,hissen,Tri-Slosher,liter4k,E-liter 4K,chakuchi,Splashdown,0,0,2,3,8,28,691,8a79d4f30f031e0c,Dirge,nzap85,N-ZAP '85,liter4k,E-liter 4K,splatroller,Splat Roller,presser,Sting Ray,0,1,1,7,5,11,822,e4327fc15dce1634,Odezza.,liter4k,E-liter 4K,nzap85,N-ZAP '85,hissen,Tri-Slosher,pitcher,Splat-Bomb Launcher,0,0,1,3,5,15,411,7b9c4137d2b10d40,JollyIvyツ,hissen,Tri-Slosher,splatroller,Splat Roller,nzap85,N-ZAP '85,jetpack,Inkjet,1,0,1,7,2,20,979,2,,2,,,8,,2,,1,0,,,,,0,,,,,5,,1,1,3,8,2,1,,5,5,1,2,,2,10,1,3,3,1,10,,3,1,2
21937,214698,1545856980,2018-12-26T15:43:00-05:00,688,dam,Spawning Grounds,3,,,114.4,profreshional,Profreshional,120,profreshional,Profreshional,140,goldie_seeking,Goldie Seeking,normal,Mid Tide,14,16,15,601,,,normal,Mid Tide,15,39,23,679,,,normal,Mid Tide,17,42,20,637,aeda69d2070fafb6,MunchCass,hissen,Tri-Slosher,splatroller,Splat Roller,liter4k,E-liter 4K,jetpack,Inkjet,0,0,2,4,3,25,402,892de08e2d1f31c6,Joy,splatroller,Splat Roller,hissen,Tri-Slosher,nzap85,N-ZAP '85,chakuchi,Splashdown,0,0,1,5,4,15,466,06d4fa10f1c84f35,[wut]kid,nzap85,N-ZAP '85,liter4k,E-liter 4K,hissen,Tri-Slosher,pitcher,Splat-Bomb Launcher,0,0,2,3,2,9,550,974afc5bddf84cb0,Hails,liter4k,E-liter 4K,nzap85,N-ZAP '85,splatroller,Splat Roller,presser,Sting Ray,0,0,2,1,4,9,499,2,1,,,1,6,,,2,2,1,,,,,0,,,,,7,3,1,3,,3,1,,1,1,4,,2,2,,7,2,,3,1,1,,1,,
21938,214698,1545857519,2018-12-26T15:51:59-05:00,689,dam,Spawning Grounds,3,,,118.4,profreshional,Profreshional,140,profreshional,Profreshional,160,,,high,High Tide,14,27,18,787,,,low,Low Tide,15,42,34,1066,goldie_seeking,Goldie Seeking,high,High Tide,17,23,21,1571,aeda69d2070fafb6,MunchCass,hissen,Tri-Slosher,splatroller,Splat Roller,nzap85,N-ZAP '85,presser,Sting Ray,0,0,1,1,6,27,527,e86175c903e1b9b4,Isaac,liter4k,E-liter 4K,nzap85,N-ZAP '85,hissen,Tri-Slosher,jetpack,Inkjet,0,0,0,4,3,10,913,b08b6d16ced24bbf,Amanda,splatroller,Splat Roller,hissen,Tri-Slosher,liter4k,E-liter 4K,chakuchi,Splashdown,0,0,0,4,1,22,641,084579905bfbaeba,Ghost,nzap85,N-ZAP '85,liter4k,E-liter 4K,splatroller,Splat Roller,pitcher,Splat-Bomb Launcher,0,0,1,3,2,14,1343,5,,1,,4,4,,1,1,,2,1,,,,0,,,,,7,3,,3,1,1,,1,,,2,,2,,,4,,1,,2,3,1,,1,1
21939,214698,1545860070,2018-12-26T16:34:30-05:00,690,dam,Spawning Grounds,2,wipe_out,Wipe out,133.2,profreshional,Profreshional,160,profreshional,Profreshional,160,,,normal,Mid Tide,15,27,18,691,rush,Rush,normal,Mid Tide,16,45,25,1710,,,high,High Tide,18,21,9,571,aeda69d2070fafb6,MunchCass,hissen,Tri-Slosher,nzap85,N-ZAP '85,splatroller,Splat Roller,pitcher,Splat-Bomb Launcher,0,0,1,4,6,17,719,0169c35064354085,Andy,liter4k,E-liter 4K,hissen,Tri-Slosher,nzap85,N-ZAP '85,presser,Sting Ray,0,0,0,7,2,15,573,da9601b2a411b8cf,Touko,nzap85,N-ZAP '85,splatroller,Splat Roller,liter4k,E-liter 4K,jetpack,Inkjet,0,2,0,6,2,11,1034,2597424ed79d93b8,pikachu420,splatroller,Splat Roller,liter4k,E-liter 4K,hissen,Tri-Slosher,chakuchi,Splashdown,2,0,0,0,7,9,646,2,1,,1,,3,1,,,,16,1,1,11,2,0,,,,,4,,1,,1,4,,,1,1,2,,,2,,4,,2,2,,6,1,,3,
21940,214698,1545863080,2018-12-26T17:24:40-05:00,691,dam,Spawning Grounds,3,,,127.0,profreshional,Profreshional,160,profreshional,Profreshional,180,,,normal,Mid Tide,15,36,26,612,,,high,High Tide,16,36,26,1030,,,low,Low Tide,18,45,29,868,aeda69d2070fafb6,MunchCass,hissen,Tri-Slosher,nzap85,N-ZAP '85,liter4k,E-liter 4K,chakuchi,Splashdown,0,0,2,2,6,32,487,f84bd4db21493304,Colin,liter4k,E-liter 4K,hissen,Tri-Slosher,splatroller,Splat Roller,jetpack,Inkjet,0,1,1,3,5,21,641,12e367c18163f01b,Gimmick,splatroller,Splat Roller,liter4k,E-liter 4K,nzap85,N-ZAP '85,pitcher,Splat-Bomb Launcher,0,1,1,6,1,7,655,6e07bf63e494955b,ΖΞR◎,nzap85,N-ZAP '85,splatroller,Splat Roller,hissen,Tri-Slosher,presser,Sting Ray,0,1,1,2,1,21,727,8,,2,2,3,6,,,2,1,0,,,,,0,,,,,4,,,3,1,8,3,1,1,2,8,1,3,,4,7,1,1,3,1,4,,,1,3
